name,cylinders,weight,acceleration
Chevrolet Chevelle Malibu,8,3504,12.0
Buick Skylark 320,8,3693,11.5
Plymouth Satellite,8,3436,11.0
Amc Rebel Sst,8,3433,12.0
Ford Torino,8,3449,10.5
Ford Galaxie 500,8,4341,10.0
Chevrolet Impala,8,4354,9.0
Plymouth Fury Iii,8,4312,8.5
Pontiac Catalina,8,4425,10.0
Amc Ambassador Dpl,8,3850,8.5
Citroen Ds-21 Pallas,4,3090,17.5
Chevrolet Chevelle Concours (Sw),8,4142,11.5
Ford Torino (Sw),8,4034,11.0
Plymouth Satellite (Sw),8,4166,10.5
Amc Rebel Sst (Sw),8,3850,11.0
Dodge Challenger Se,8,3563,10.0
Plymouth 'Cuda 340,8,3609,8.0
Ford Mustang Boss 302,8,3353,8.0
Chevrolet Monte Carlo,8,3761,9.5
Buick Estate Wagon (Sw),8,3086,10.0
Toyota Corona Mark Ii,4,2372,15.0
Plymouth Duster,6,2833,15.5
Amc Hornet,6,2774,15.5
Ford Maverick,6,2587,16.0
Datsun Pl510,4,2130,14.5
Volkswagen 1131 Deluxe Sedan,4,1835,20.5
Peugeot 504,4,2672,17.5
Audi 100 Ls,4,2430,14.5
Saab 99E,4,2375,17.5
Bmw 2002,4,2234,12.5
Amc Gremlin,6,2648,15.0
Ford F250,8,4615,14.0
Chevy C20,8,4376,15.0
Dodge D200,8,4382,13.5
Hi 1200D,8,4732,18.5
Datsun Pl510,4,2130,14.5
Chevrolet Vega 2300,4,2264,15.5
Toyota Corona,4,2228,14.0
Ford Pinto,4,2046,19.0
Volkswagen Super Beetle 117,4,1978,20.0
Amc Gremlin,6,2634,13.0
Plymouth Satellite Custom,6,3439,15.5
Chevrolet Chevelle Malibu,6,3329,15.5
Ford Torino 500,6,3302,15.5
Amc Matador,6,3288,15.5
Chevrolet Impala,8,4209,12.0
Pontiac Catalina Brougham,8,4464,11.5
Ford Galaxie 500,8,4154,13.5
Plymouth Fury Iii,8,4096,13.0
Dodge Monaco (Sw),8,4955,11.5
Ford Country Squire (Sw),8,4746,12.0
Pontiac Safari (Sw),8,5140,12.0
Amc Hornet Sportabout (Sw),6,2962,13.5
Chevrolet Vega (Sw),4,2408,19.0
Pontiac Firebird,6,3282,15.0
Ford Mustang,6,3139,14.5
Mercury Capri 2000,4,2220,14.0
Opel 1900,4,2123,14.0
Peugeot 304,4,2074,19.5
Fiat 124B,4,2065,14.5
Toyota Corolla 1200,4,1773,19.0
Datsun 1200,4,1613,18.0
Volkswagen Model 111,4,1834,19.0
Plymouth Cricket,4,1955,20.5
Toyota Corona Hardtop,4,2278,15.5
Dodge Colt Hardtop,4,2126,17.0
Volkswagen Type 3,4,2254,23.5
Chevrolet Vega,4,2408,19.5
Ford Pinto Runabout,4,2226,16.5
Chevrolet Impala,8,4274,12.0
Pontiac Catalina,8,4385,12.0
Plymouth Fury Iii,8,4135,13.5
Ford Galaxie 500,8,4129,13.0
Amc Ambassador Sst,8,3672,11.5
Mercury Marquis,8,4633,11.0
Buick Lesabre Custom,8,4502,13.5
Oldsmobile Delta 88 Royale,8,4456,13.5
Chrysler Newport Royal,8,4422,12.5
Mazda Rx2 Coupe,3,2330,13.5
Amc Matador (Sw),8,3892,12.5
Chevrolet Chevelle Concours (Sw),8,4098,14.0
Ford Gran Torino (Sw),8,4294,16.0
Plymouth Satellite Custom (Sw),8,4077,14.0
Volvo 145E (Sw),4,2933,14.5
Volkswagen 411 (Sw),4,2511,18.0
Peugeot 504 (Sw),4,2979,19.5
Renault 12 (Sw),4,2189,18.0
Ford Pinto (Sw),4,2395,16.0
Datsun 510 (Sw),4,2288,17.0
Toyouta Corona Mark Ii (Sw),4,2506,14.5
Dodge Colt (Sw),4,2164,15.0
Toyota Corolla 1600 (Sw),4,2100,16.5
Buick Century 350,8,4100,13.0
Amc Matador,8,3672,11.5
Chevrolet Malibu,8,3988,13.0
Ford Gran Torino,8,4042,14.5
Dodge Coronet Custom,8,3777,12.5
Mercury Marquis Brougham,8,4952,11.5
Chevrolet Caprice Classic,8,4464,12.0
Ford Ltd,8,4363,13.0
Plymouth Fury Gran Sedan,8,4237,14.5
Chrysler New Yorker Brougham,8,4735,11.0
Buick Electra 225 Custom,8,4951,11.0
Amc Ambassador Brougham,8,3821,11.0
Plymouth Valiant,6,3121,16.5
Chevrolet Nova Custom,6,3278,18.0
Amc Hornet,6,2945,16.0
Ford Maverick,6,3021,16.5
Plymouth Duster,6,2904,16.0
Volkswagen Super Beetle,4,1950,21.0
Chevrolet Impala,8,4997,14.0
Ford Country,8,4906,12.5
Plymouth Custom Suburb,8,4654,13.0
Oldsmobile Vista Cruiser,8,4499,12.5
Amc Gremlin,6,2789,15.0
Toyota Carina,4,2279,19.0
Chevrolet Vega,4,2401,19.5
Datsun 610,4,2379,16.5
Maxda Rx3,3,2124,13.5
Ford Pinto,4,2310,18.5
Mercury Capri V6,6,2472,14.0
Fiat 124 Sport Coupe,4,2265,15.5
Chevrolet Monte Carlo S,8,4082,13.0
Pontiac Grand Prix,8,4278,9.5
Fiat 128,4,1867,19.5
Opel Manta,4,2158,15.5
Audi 100Ls,4,2582,14.0
Volvo 144Ea,4,2868,15.5
Dodge Dart Custom,8,3399,11.0
Saab 99Le,4,2660,14.0
Toyota Mark Ii,6,2807,13.5
Oldsmobile Omega,8,3664,11.0
Plymouth Duster,6,3102,16.5
Ford Maverick,6,2875,17.0
Amc Hornet,6,2901,16.0
Chevrolet Nova,6,3336,17.0
Datsun B210,4,1950,19.0
Ford Pinto,4,2451,16.5
Toyota Corolla 1200,4,1836,21.0
Chevrolet Vega,4,2542,17.0
Chevrolet Chevelle Malibu Classic,6,3781,17.0
Amc Matador,6,3632,18.0
Plymouth Satellite Sebring,6,3613,16.5
Ford Gran Torino,8,4141,14.0
Buick Century Luxus (Sw),8,4699,14.5
Dodge Coronet Custom (Sw),8,4457,13.5
Ford Gran Torino (Sw),8,4638,16.0
Amc Matador (Sw),8,4257,15.5
Audi Fox,4,2219,16.5
Volkswagen Dasher,4,1963,15.5
Opel Manta,4,2300,14.5
Toyota Corona,4,1649,16.5
Datsun 710,4,2003,19.0
Dodge Colt,4,2125,14.5
Fiat 128,4,2108,15.5
Fiat 124 Tc,4,2246,14.0
Honda Civic,4,2489,15.0
Subaru,4,2391,15.5
Fiat X1.9,4,2000,16.0
Plymouth Valiant Custom,6,3264,16.0
Chevrolet Nova,6,3459,16.0
Mercury Monarch,6,3432,21.0
Ford Maverick,6,3158,19.5
